# Electric Field Data for t=0.250s
# y	z	Ex(V/m)	Ey(V/m)	Ez(V/m)	E_magnitude(V/m)
0.07530612244897958	0.04591836734693877	0.23658116105604757	-0.0	0.0	0.23658116105604757
0.07530612244897958	0.04959183673469386	0.23658116105604757	-0.0	0.0	0.23658116105604757
0.07530612244897958	0.05326530612244898	0.23658116105604757	-0.0	0.0	0.23658116105604757
0.07530612244897958	0.05693877551020407	0.23658116105604754	-0.0	0.0	0.23658116105604754
0.07530612244897958	0.06061224489795919	0.23658116105604754	-0.0	0.0	0.23658116105604754
0.07530612244897958	0.06428571428571428	0.23658116105604754	-0.0	0.0	0.23658116105604754
0.07530612244897958	0.06795918367346937	0.23658116105604754	-0.0	0.0	0.23658116105604754
0.07530612244897958	0.07163265306122449	0.23658116105604754	-0.0	0.0	0.23658116105604754
0.07530612244897958	0.07530612244897958	0.2365811610560475	-0.0	0.0	0.2365811610560475
0.07530612244897958	0.0789795918367347	0.2365811610560475	-0.0	0.0	0.2365811610560475
0.07530612244897958	0.08265306122448979	0.2365811610560475	-0.0	0.0	0.2365811610560475
0.07530612244897958	0.0863265306122449	0.2365811610560475	-0.0	0.0	0.2365811610560475
0.07530612244897958	0.09	0.23658116105604748	-0.0	0.0	0.23658116105604748

0.0789795918367347	-0.09	0.2481217054978063	-0.0	0.0	0.2481217054978063
0.0789795918367347	-0.08632653061224489	0.24812170549780627	-0.0	0.0	0.24812170549780627
0.0789795918367347	-0.08265306122448979	0.24812170549780627	-0.0	0.0	0.24812170549780627
0.0789795918367347	-0.0789795918367347	0.24812170549780627	-0.0	0.0	0.24812170549780627
0.0789795918367347	-0.07530612244897959	0.24812170549780627	-0.0	0.0	0.24812170549780627
0.0789795918367347	-0.07163265306122449	0.24812170549780624	-0.0	0.0	0.24812170549780624
0.0789795918367347	-0.06795918367346938	0.24812170549780624	-0.0	0.0	0.24812170549780624
0.0789795918367347	-0.06428571428571428	0.24812170549780624	-0.0	0.0	0.24812170549780624
0.0789795918367347	-0.06061224489795918	0.24812170549780624	-0.0	0.0	0.24812170549780624
0.0789795918367347	-0.05693877551020408	0.24812170549780624	-0.0	0.0	0.24812170549780624
0.0789795918367347	-0.05326530612244898	0.2481217054978062	-0.0	0.0	0.2481217054978062
0.0789795918367347	-0.049591836734693875	0.2481217054978062	-0.0	0.0	0.2481217054978062
0.0789795918367347	-0.04591836734693877	0.2481217054978062	-0.0	0.0	0.2481217054978062
0.0789795918367347	-0.04224489795918367	0.2481217054978062	-0.0	0.0	0.2481217054978062
0.0789795918367347	-0.03857142857142857	0.24812170549780618	-0.0	0.0	0.24812170549780618
0.0789795918367347	-0.03489795918367347	0.24812170549780618	-0.0	0.0	0.24812170549780618
0.0789795918367347	-0.031224489795918367	0.24812170549780618	-0.0	0.0	0.24812170549780618
0.0789795918367347	-0.027551020408163263	0.24812170549780618	-0.0	0.0	0.24812170549780618
0.0789795918367347	-0.023877551020408158	0.24812170549780616	-0.0	0.0	0.24812170549780616
0.0789795918367347	-0.020204081632653068	0.24812170549780616	-0.0	0.0	0.24812170549780616
0.0789795918367347	-0.016530612244897963	0.24812170549780616	-0.0	0.0	0.24812170549780616
0.0789795918367347	-0.012857142857142859	0.24812170549780616	-0.0	0.0	0.24812170549780616
0.0789795918367347	-0.009183673469387754	0.24812170549780616	-0.0	0.0	0.24812170549780616
0.0789795918367347	-0.00551020408163265	0.24812170549780613	-0.0	0.0	0.24812170549780613
0.0789795918367347	-0.0018367346938775453	0.24812170549780613	-0.0	0.0	0.24812170549780613
0.0789795918367347	0.0018367346938775453	0.24812170549780613	-0.0	0.0	0.24812170549780613
0.0789795918367347	0.00551020408163265	0.24812170549780613	-0.0	0.0	0.24812170549780613
0.0789795918367347	0.009183673469387754	0.2481217054978061	-0.0	0.0	0.2481217054978061
0.0789795918367347	0.012857142857142859	0.2481217054978061	-0.0	0.0	0.2481217054978061
0.0789795918367347	0.016530612244897963	0.2481217054978061	-0.0	0.0	0.2481217054978061
0.0789795918367347	0.020204081632653054	0.2481217054978061	-0.0	0.0	0.2481217054978061
0.0789795918367347	0.023877551020408158	0.2481217054978061	-0.0	0.0	0.2481217054978061
0.0789795918367347	0.027551020408163263	0.24812170549780607	-0.0	0.0	0.24812170549780607
0.0789795918367347	0.031224489795918367	0.24812170549780607	-0.0	0.0	0.24812170549780607
0.0789795918367347	0.03489795918367347	0.24812170549780607	-0.0	0.0	0.24812170549780607
0.0789795918367347	0.03857142857142856	0.24812170549780607	-0.0	0.0	0.24812170549780607
0.0789795918367347	0.04224489795918368	0.24812170549780604	-0.0	0.0	0.24812170549780604
0.0789795918367347	0.04591836734693877	0.24812170549780604	-0.0	0.0	0.24812170549780604
0.0789795918367347	0.04959183673469386	0.24812170549780604	-0.0	0.0	0.24812170549780604
0.0789795918367347	0.05326530612244898	0.24812170549780604	-0.0	0.0	0.24812170549780604
0.0789795918367347	0.05693877551020407	0.24812170549780602	-0.0	0.0	0.24812170549780602
0.0789795918367347	0.06061224489795919	0.24812170549780602	-0.0	0.0	0.24812170549780602
0.0789795918367347	0.06428571428571428	0.24812170549780602	-0.0	0.0	0.24812170549780602
0.0789795918367347	0.06795918367346937	0.24812170549780602	-0.0	0.0	0.24812170549780602
0.0789795918367347	0.07163265306122449	0.24812170549780602	-0.0	0.0	0.24812170549780602
0.0789795918367347	0.07530612244897958	0.248121705497806	-0.0	0.0	0.248121705497806
0.0789795918367347	0.0789795918367347	0.248121705497806	-0.0	0.0	0.248121705497806
0.0789795918367347	0.08265306122448979	0.248121705497806	-0.0	0.0	0.248121705497806
0.0789795918367347	0.0863265306122449	0.248121705497806	-0.0	0.0	0.248121705497806
0.0789795918367347	0.09	0.24812170549780596	-0.0	0.0	0.24812170549780596

0.08265306122448979	-0.09	0.25966224993956466	-0.0	0.0	0.25966224993956466
0.08265306122448979	-0.08632653061224489	0.25966224993956466	-0.0	0.0	0.25966224993956466
0.08265306122448979	-0.08265306122448979	0.25966224993956466	-0.0	0.0	0.25966224993956466
0.08265306122448979	-0.0789795918367347	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.07530612244897959	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.07163265306122449	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.06795918367346938	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.06428571428571428	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.06061224489795918	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.05693877551020408	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.05326530612244898	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.049591836734693875	0.2596622499395646	-0.0	0.0	0.2596622499395646
0.08265306122448979	-0.04591836734693877	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.04224489795918367	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.03857142857142857	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.03489795918367347	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.031224489795918367	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.027551020408163263	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.023877551020408158	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.020204081632653068	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.016530612244897963	0.25966224993956455	-0.0	0.0	0.25966224993956455
0.08265306122448979	-0.012857142857142859	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	-0.009183673469387754	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	-0.00551020408163265	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	-0.0018367346938775453	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	0.0018367346938775453	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	0.00551020408163265	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	0.009183673469387754	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	0.012857142857142859	0.2596622499395645	-0.0	0.0	0.2596622499395645
0.08265306122448979	0.016530612244897963	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.020204081632653054	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.023877551020408158	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.027551020408163263	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.031224489795918367	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.03489795918367347	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.03857142857142856	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.04224489795918368	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.04591836734693877	0.25966224993956444	-0.0	0.0	0.25966224993956444
0.08265306122448979	0.04959183673469386	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.05326530612244898	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.05693877551020407	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.06061224489795919	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.06428571428571428	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.06795918367346937	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.07163265306122449	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.07530612244897958	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.0789795918367347	0.2596622499395644	-0.0	0.0	0.2596622499395644
0.08265306122448979	0.08265306122448979	0.2596622499395643	-0.0	0.0	0.2596622499395643
0.08265306122448979	0.0863265306122449	0.2596622499395643	-0.0	0.0	0.2596622499395643
0.08265306122448979	0.09	0.2596622499395643	-0.0	0.0	0.2596622499395643

0.0863265306122449	-0.09	0.27120279438132316	-0.0	0.0	0.27120279438132316
0.0863265306122449	-0.08632653061224489	0.27120279438132316	-0.0	0.0	0.27120279438132316
0.0863265306122449	-0.08265306122448979	0.27120279438132316	-0.0	0.0	0.27120279438132316
0.0863265306122449	-0.0789795918367347	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.07530612244897959	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.07163265306122449	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.06795918367346938	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.06428571428571428	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.06061224489795918	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.05693877551020408	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.05326530612244898	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.049591836734693875	0.2712027943813231	-0.0	0.0	0.2712027943813231
0.0863265306122449	-0.04591836734693877	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.04224489795918367	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.03857142857142857	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.03489795918367347	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.031224489795918367	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.027551020408163263	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.023877551020408158	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.020204081632653068	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.016530612244897963	0.27120279438132305	-0.0	0.0	0.27120279438132305
0.0863265306122449	-0.012857142857142859	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	-0.009183673469387754	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	-0.00551020408163265	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	-0.0018367346938775453	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	0.0018367346938775453	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	0.00551020408163265	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	0.009183673469387754	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	0.012857142857142859	0.271202794381323	-0.0	0.0	0.271202794381323
0.0863265306122449	0.016530612244897963	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.020204081632653054	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.023877551020408158	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.027551020408163263	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.031224489795918367	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.03489795918367347	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.03857142857142856	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.04224489795918368	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.04591836734693877	0.27120279438132294	-0.0	0.0	0.27120279438132294
0.0863265306122449	0.04959183673469386	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.05326530612244898	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.05693877551020407	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.06061224489795919	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.06428571428571428	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.06795918367346937	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.07163265306122449	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.07530612244897958	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.0789795918367347	0.2712027943813229	-0.0	0.0	0.2712027943813229
0.0863265306122449	0.08265306122448979	0.27120279438132283	-0.0	0.0	0.27120279438132283
0.0863265306122449	0.0863265306122449	0.27120279438132283	-0.0	0.0	0.27120279438132283
0.0863265306122449	0.09	0.27120279438132283	-0.0	0.0	0.27120279438132283

0.09	-0.09	0.28274333882308156	-0.0	0.0	0.28274333882308156
0.09	-0.08632653061224489	0.28274333882308156	-0.0	0.0	0.28274333882308156
0.09	-0.08265306122448979	0.28274333882308156	-0.0	0.0	0.28274333882308156
0.09	-0.0789795918367347	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.07530612244897959	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.07163265306122449	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.06795918367346938	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.06428571428571428	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.06061224489795918	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.05693877551020408	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.05326530612244898	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.049591836734693875	0.2827433388230815	-0.0	0.0	0.2827433388230815
0.09	-0.04591836734693877	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.04224489795918367	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.03857142857142857	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.03489795918367347	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.031224489795918367	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.027551020408163263	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.023877551020408158	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.020204081632653068	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.016530612244897963	0.28274333882308145	-0.0	0.0	0.28274333882308145
0.09	-0.012857142857142859	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	-0.009183673469387754	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	-0.00551020408163265	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	-0.0018367346938775453	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	0.0018367346938775453	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	0.00551020408163265	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	0.009183673469387754	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	0.012857142857142859	0.2827433388230814	-0.0	0.0	0.2827433388230814
0.09	0.016530612244897963	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.020204081632653054	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.023877551020408158	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.027551020408163263	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.031224489795918367	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.03489795918367347	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.03857142857142856	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.04224489795918368	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.04591836734693877	0.28274333882308134	-0.0	0.0	0.28274333882308134
0.09	0.04959183673469386	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.05326530612244898	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.05693877551020407	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.06061224489795919	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.06428571428571428	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.06795918367346937	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.07163265306122449	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.07530612244897958	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.0789795918367347	0.2827433388230813	-0.0	0.0	0.2827433388230813
0.09	0.08265306122448979	0.2827433388230812	-0.0	0.0	0.2827433388230812
0.09	0.0863265306122449	0.2827433388230812	-0.0	0.0	0.2827433388230812
